CropID,Agri / Horti Category,Sub-Category,Crop Name,Botanical Name,Produces (MF List),Requires (MF List),Suppresses (MF List),Key Light MF (Spectral Zone),Key Soil MF (Physical+Bio),Key Water MF (Moisture+RF),Validated Insight,Companion Crops (AP Recommended),Ontology Design Note (Rule / Flag)
CRP0059,Horticultural,Solanaceae,Brinjal (Eggplant),Solanum melongena,"MF1,MF3G,MF19,MF24","MF3G,MF13",MF2,MF3G + minor MF1 from own canopy,"MF24,MF25",MF9,"Trap crop function for Shoot and Fruit Borer (Leucinodes orbonalis) — Brinjal planted as border row around tomato attracts SFB preferentially (MF21 function). However Brinjal requires active management: inspect weekly, cut and destroy infested shoots. Companion with Coriander provides MF19+MF20 benefit.","Coriander (MF19 companion), Marigold, Onion (border)",Trap crop flag: Brinjal as border row around Tomato provides MF21 function for SFB. Requires weekly scouting and shoot removal. Do not allow SFB to build on trap crop — manage within 2-week window.
CRP0060,Horticultural,Solanaceae,Chilli,Capsicum annuum,"MF1,MF19,MF24","MF3G,MF13",MF2,MF3G + minor MF1,"MF24,MF25",MF9,"Capsaicin in leaf trichomes has minor pest deterrent effect (MF21 function). Like Tomato, REQUIRES MF13 (airflow) — Anthracnose and Colletotrichum are humidity-driven. Onion companion with sulfur exudates is the most validated AP pest management companion. Marigold (MF19) for thrips parasitoid attraction.","Onion (sulfur compounds deter thrips), Marigold (MF19), Coriander (MF19), Basil",Airflow + humidity management: Chilli is the crop most sensitive to MF14 (high humidity) build-up. Design: never plant in MF12 (stagnant air) zones. Wind barrier (MF11) must not create full stagnation — use permeable barrier.
CRP0061,Horticultural,Solanaceae,Potato,Solanum tuberosum,"MF3G,MF16,MF24","MF3G,MF13","MF2,MF14",MF3G (full ground sun; 0–1m canopy),"MF16,MF24,MF25",MF9,Tuber expansion mechanically loosens soil — creates shallow MF16 biopores (10–20cm). SUPPRESSES MF14 — must have dry air for Late Blight prevention. Companion with Horseradish is classical allelopathic companion (Horseradish deters Colorado potato beetle through glucosinolate exudates). AVOID near Tomato — shared solanaceous diseases.,"Horseradish (border, allelopathic pest deterrence), Beans (N-fixation), Coriander (MF19)",Disease flag: Potato and Tomato share Late Blight (Phytophthora infestans) — NEVER intercrop. Spatial rule: >10m separation or physical barrier between Potato and Tomato fields.
CRP0062,Horticultural,Vegetables,Okra,Abelmoschus esculentus,"MF3G,MF19,MF24","MF3G,MF13",MF2,MF3G (1–2m upright; inter-row exposed),"MF24,MF25",MF9,Tall upright crop with exposed inter-row ground — MF3G soil sterilisation risk in row middles. Strong pollinator attractor (MF19) — large flowers. Companion with Basil provides aromatic pest deterrence. Ground cover between Okra rows is essential — Coriander or Fenugreek as inter-row companion protects soil microbiome.,"Basil (pest deterrence), Coriander (MF19 + ground cover), Marigold","Ground protection flag: Okra inter-row ground is exposed to MF3G. Mandatory: inter-row companion plant (Coriander, Fenugreek, or Basil) for microbiome protection."
CRP0063,Horticultural,Vegetables,Onion,Allium cepa,"MF3G,MF16,MF24","MF3G,MF13",MF2,MF3G (very low canopy; 0–0.5m),"MF16,MF24","MF9,MF10","Sulfur-containing volatile compounds (allicin, diallyl disulfide) deter many pest insects — Onion is one of the most effective aromatic companion plants in AP vegetable systems. Very low canopy means ground is essentially fully exposed (MF3G active throughout) — inter-row mulch is critical. Companion with Carrot is classical: Onion deters carrot fly, Carrot deters onion fly.","Tomato (pest deterrence), Chilli (thrips reduction), Carrot (mutual deterrence), Beets",Aromatic companion value: Onion sulfur compounds act as MF21-equivalent aromatic pest diversion within 1m radius. Use in border rows around solanaceous crops for thrips management.
CRP0064,Horticultural,Vegetables,Elephant Yam,Amorphophallus paeoniifolius,"MF3G,MF8,MF9,MF17,MF24","MF3G,MF1,MF6",MF2,REQ: MF1 (partial shade essential for establishment),"MF17,MF24,MF27","MF8,MF9",Large leaf canopy RETAINS cool moist microclimate once established — not traps. Requires partial shade (MF1) for establishment but tolerates more sun when mature. Deep corm acts as water reservoir in dry conditions. Dense leaf mulch production (MF17) feeds surface microbiome. Classic companion crop under Banana or Coconut in AP homestead gardens.,"Banana (MF1+MF6 shade provider), Coconut garden floor, Areca garden",Shade requirement transition: Young Elephant Yam REQUIRES MF1 strictly. Mature plant tolerates moderate sun. Design: establish under existing MF1 tree canopy; once established can expand into partial MF3G zones.
CRP0065,Horticultural,Fruit Crops,Mango,Mangifera indica,"MF1,MF3U,MF4-NIR,MF4-STR,MF6,MF8,MF11,MF14,MF17,MF19,MF20,MF24,MF25","MF3U,MF13","MF3G,MF3L,MF10",MF3U (upper 2–4m) + MF4-NIR (NIR reflector) + MF4-STR (beam scatter),"MF16,MF17,MF24,MF25,MF27","MF8,MF9",AP's most important agroforestry canopy tree. Dense canopy REFLECTS NIR (MF4-NIR) — removes 40–50% of solar heat load from understory WITHOUT reducing PAR availability. Cooling under Mango canopy RETAINS the microclimate that supports understory crop biology. Deep taproot creates extensive biopore network. Leaf litter (C:N ~30) builds SOM slowly but steadily. Upper canopy sun (MF3U) drives canopy ET — not ground drying.,"Curry Leaf (understory), Drumstick (sub-canopy), Turmeric (ground layer), Cowpea",Keystone agroforestry flag: Mango as canopy anchor satisfies MF1+MF4-NIR+MF6+MF17 simultaneously. Design: 1 Mango per 100m² provides adequate MF1+MF4 coverage for 2–3 understory crop rows.
CRP0066,Horticultural,Fruit Crops,Citrus (various),Citrus spp.,"MF1,MF3L,MF6,MF8,MF17,MF19,MF20,MF24,MF25","MF3L,MF13",MF3G,MF1+MF3L (moderate canopy; 2–3m),"MF17,MF24,MF27","MF8,MF9","Strongly aromatic flowers create intense MF19 (pollinator attraction) during flowering. Allelopathic fallen leaf litter — Citrus litter leachates inhibit germination of many ground-level companions. Companion with Basil improves pollinator visits. REQUIREs MF13 (airflow) for disease prevention (citrus canker, gummosis). SUPPRESSES MF3G — canopy prevents ground sterilisation.","Basil (MF19 enhancement), Drumstick (sub-canopy companion), Cowpea (ground)",Litter allelopathy flag: Citrus fallen leaves are allelopathic. Rake fallen leaves from under tree for composting — do not leave as in-situ mulch if establishing new understorey plants.
CRP0067,Horticultural,Fruit Crops,Guava,Psidium guajava,"MF1,MF3L,MF17,MF19,MF20,MF24,MF25",MF3L,MF3G,MF1+MF3L (dense canopy; good shade tree),"MF17,MF24,MF25",MF9,"Hardy canopy provider — strong MF1 zone below. Allelopathic leaf litter documented — guava leachates suppress some crop germination. Dense canopy SUPPRESSES MF3G effectively. High medicinal value. Companion with Banana (microclimate contrast — Guava drier, Banana wetter) not recommended — incompatible MF profiles. Best as standalone shade tree in vegetable garden.","Cowpea (ground cover below), Drumstick (companion sub-canopy), Marigold (border MF19)",Microclimate note: Guava creates MF1 zone with moderate humidity — suitable for shade-tolerant vegetables and spices below. Litter allelopathy: allow 2–3 week breakdown before establishing seedlings nearby.
CRP0068,Horticultural,Fruit Crops,Papaya,Carica papaya,"MF3L,MF19,MF24","MF3L,MF11",MF3G,MF3L (2–3m single trunk; open canopy),MF24,"MF9,MF14",Fast pioneer canopy tree — provides MF3L partial shade quickly (fruiting in 9–12 months). REQUIRES wind protection (MF11) — extremely susceptible to wind damage. Root system very sensitive to waterlogging. Companion with Basil and Marigold for MF19+MF20 benefit.,"Basil (MF19+MF21 companion), Marigold, Cowpea (ground MF23)",Wind protection flag: Papaya MUST have MF11 windbreak on prevailing wind side. Use Napier Grass or Casuarina as windbreak. Plant 1m from windbreak on leeward side.
CRP0072,Horticultural,Fruit Crops,Jackfruit,Artocarpus heterophyllus,"MF1,MF2,MF4-FR,MF6,MF8,MF11,MF17,MF19,MF24,MF25","MF3U,MF13","MF3G,MF10",MF1+MF2 (very dense canopy) + MF4-FR (far-red enrichment),"MF16,MF17,MF24,MF25","MF8,MF9",Dense evergreen canopy creates strong MF4-FR (far-red enrichment zone) below — morphological shade signal for understory plants. Large fruits sequester significant carbon. Leaf litter (MF17) is high volume and medium C:N. RETAINS cool moist microclimate below — ideal for root crops and rhizome crops that require stable deep-shade conditions. AP's most important native canopy tree for multi-tier systems.,"Turmeric (deep shade ground layer), Ginger, Black Pepper (climber on trunk), Cowpea","Far-red signal flag: MF4-FR zone below Jackfruit induces shade morphology in understory crops — choose far-red ADAPTED crops (Ginger, Turmeric, Cardamom) not shade-AVOIDING crops (cereals, most vegetables)."
CRP0072,Forest,Canopy Trees,Jackfruit,Artocarpus heterophyllus,"MF1,MF2,MF4-FR,MF6,MF8,MF11,MF17,MF19,MF24,MF25","MF3U,MF13","MF3G,MF10",MF1+MF2 (dense evergreen) + MF4-FR (far-red),"MF16,MF17,MF24,MF25","MF8,MF9","AP's most productive multi-use canopy tree — food, timber, fodder, shade in one. Dense evergreen canopy creates strong MF4-FR zone below. Large leaf litter (MF17) is high volume mulch. RETAINS cool moist microclimate below — ideal for shade-dependent spice crops. Deep root system creates excellent MF16 biopore network throughout lifetime of tree.","Turmeric (ground layer MF4-FR adapted), Ginger, Black Pepper (trunk climber), Cowpea","Multi-function canopy: Jackfruit satisfies MF1+MF2+MF4-FR+MF6+MF17+MF25 simultaneously. Best canopy anchor for shade-spice systems. Companion crops must be FAR-RED ADAPTED — select from: Ginger, Turmeric, Cardamom, Cocoa."
CRP0073,Horticultural,Fruit Crops,Custard Apple,Annona squamosa,"MF1,MF3L,MF17,MF19,MF20,MF24,MF25","MF3L,MF13",MF3G,MF1+MF3L (moderate canopy; 2–4m),"MF17,MF24",MF9,Dryland fruit tree — adapted to AP's Deccan Plateau climate. Dense canopy provides MF1 zone. Unusual pollination biology — flowers emit strong yeast-like aroma attracting specific beetles (not bees). Companion with Drumstick and Ber in dryland food forest designs.,"Drumstick (companion), Ber (dryland companion), Cowpea (ground MF23)","Pollinator specificity: Custard Apple pollination depends on specific beetles — aromatic companion plants (Basil, Marigold) less useful than in bee-pollinated crops. Design: ensure no broad-spectrum insecticides used within 50m."
CRP0074,Horticultural,Fruit Crops,Pomegranate,Punica granatum,"MF3L,MF16,MF19,MF20,MF24,MF25","MF3L,MF13","MF3G,MF14",MF3L (1–3m; moderate open canopy),"MF16,MF24,MF25","MF9,MF10","Drought-tolerant commercial fruit. Dense root system creates significant MF16 biopore network. SUPPRESSES MF14 — dry microclimate preferred, high humidity causes Cercospora leaf spot and fruit cracking. Companion with Onion deters some insect pests through sulfur volatiles.","Onion (pest deterrence), Coriander (MF19 border), Cowpea (ground MF23 + MF18)",Humidity sensitivity: Pomegranate in MF14 zone = fruit cracking + disease. Design rule: plant in windward-facing position for maximum MF13 airflow. Pair with MF13 companions (open structure border plants).
CRP0075,Horticultural,Fruit Crops,Amla (Indian Gooseberry),Phyllanthus emblica,"MF1,MF3L,MF17,MF19,MF24,MF25,MF27",MF3L,MF3G,MF1+MF3L (open deciduous canopy),"MF17,MF24,MF27",MF9,Tannin-rich leaf litter inhibits some pathogens (antifungal allelopathy) while improving soil microbiome (MF27). One of the few trees with documented simultaneous allelopathic + microbiome-enhancing properties. Companion with Basil improves pollinator visits. Excellent dryland food forest tree.,"Basil (MF19), Drumstick (companion sub-canopy), Cowpea (ground)",Dual soil biology flag: Amla litter — tannins suppress harmful soil fungi (benefit) AND stimulate beneficial decomposer bacteria (benefit). Unique positive allelopathy profile — use as deliberate companion for soil health.
CRP0076,Horticultural,Plantation,Areca Nut,Areca catechu,"MF1,MF3U,MF6,MF8,MF9,MF11,MF14,MF17,MF19,MF24,MF25","MF3U,MF1,MF11","MF3G,MF10",MF1+MF3U (tall palm; partial shade below 2–4m),"MF17,MF24,MF25","MF8,MF9,MF14",Classic AP multi-tier plantation system: Areca creates partial shade (MF1) while requiring upper canopy sun (MF3U) from Coconut or sky above. The inter-areca microclimate RETAINS humidity and cooling — ideal for Black Pepper (climber on trunk) and Ginger/Turmeric at ground level. Traditional Areca gardens in East Godavari and West Godavari are among the most complex natural farming polycultures in AP.,"Black Pepper (climber on trunk), Ginger/Turmeric (ground), Banana (inter-areca), Cowpea",Multi-tier plantation flag: Areca+Black Pepper+Ginger is AP's classic three-level spice system. All three MF profiles are mutually satisfying: Areca PROD(MF1+MF14) → Pepper REQ(MF1+MF14) → Ginger REQ(MF1+MF6+MF14). No external MF input needed.
CRP0077,Horticultural,Plantation,Cocoa,Theobroma cacao,"MF1,MF2,MF4-PAR,MF8,MF9,MF14,MF17,MF24,MF27","MF1,MF4-PAR,MF6,MF14","MF3G,MF10,MF15",REQ: MF1+MF4-PAR (strict shade requirement; PAR-filtered light only),"MF17,MF24,MF27","MF8,MF9,MF14",Strictest shade requirement in AP commercial crops — REQUIRES MF4-PAR (PAR-filtered diffused light). Cannot establish under dense MF2 (too dark) or full MF3G (sun-damaged). The specific light quality — diffused PAR with NIR removed — is exactly the forest understory environment. Canopy RETAINS the humid microclimate essential for pod development. Classic shade system: Coconut or Jackfruit above → Banana sub-canopy → Cocoa at ground level.,"Coconut (canopy, MF4-PAR provider), Jackfruit (dense shade), Banana (sub-canopy), Ginger","MF4-PAR requirement is precise: NOT dense shade (MF2), NOT full sun (MF3G) — specifically DIFFUSED PAR at 30–50% open sky equivalent. Coconut palm canopy is the ideal MF4-PAR provider in AP conditions."
CRP0078,Horticultural,Plantation,Coffee,Coffea arabica / canephora,"MF1,MF4-STR,MF8,MF9,MF17,MF24,MF27","MF1,MF4-PAR,MF6","MF3G,MF10,MF15",REQ: MF1+MF4-STR (scattered diffuse light requirement),"MF17,MF24,MF27","MF8,MF9","Classic shade-grown crop requiring MF4-STR (beam scatter) — not just any shade, but scattered diffuse light. Silver Oak (Grevillea) is the AP standard shade companion — its pinnate leaves create ideal scatter profile. Cooling under shade canopy RETAINS the humid microclimate essential for cherry development and bean quality. Research confirms: shade-grown coffee has higher cup quality AND lower disease pressure.","Silver Oak/Grevillea (MF4-STR shade provider), Banana (sub-canopy), Cardamom (companion)","Light quality flag: Coffee requires MF4-STR specifically — Grevillea's open pinnate canopy creates ideal beam scatter. Solid shade trees (Jackfruit, Mango at close spacing) produce MF2 which is too dark. Design: 8×8m Grevillea spacing for coffee."
CRP0082,Horticultural,Spices,Betel Leaf,Piper betle,"MF14,MF17","MF1,MF6,MF11,MF14","MF3G,MF10,MF15",REQ: MF1+MF11+MF14 (shade + protection + humidity all required),MF17,"MF8,MF9,MF14","Most microclimate-sensitive crop in AP. Requires ALL THREE of: shade (MF1), wind protection (MF11), AND high humidity (MF14) simultaneously. Traditional Betel Leaf gardens (Tambula gardens) in AP's East Godavari and Krishna districts are elaborate microclimate engineering systems — bamboo shade structures, irrigation misting, and dense windbreaks all used together.","Areca (shade + support system), Bamboo windbreak (MF11), Banana (humidity + shade)",Triple REQ flag: Betel Leaf is the most demanding microclimate crop. System design MUST satisfy MF1+MF11+MF14 simultaneously — failure of any one = crop failure. Traditional AP Tambula gardens are the gold standard reference design.
CRP0083,Horticultural,Spices,Cardamom,Elettaria cardamomum,"MF1,MF2,MF4-STR,MF8,MF9,MF17,MF24,MF27","MF1,MF4-PAR,MF6,MF14","MF3G,MF10,MF15",REQ: MF1+MF4-STR (scattered diffuse light; deep shade),"MF17,MF24,MF27","MF8,MF9,MF14","Deep shade crop native to Western Ghats forest understory — the highest MF4 requirement of any AP crop. Requires beam scatter (MF4-STR) plus PAR filtration (MF4-PAR) simultaneously. Silver Oak in AP's Araku Valley is the traditional companion. Cooling under canopy RETAINS the stable humid microclimate that Cardamom requires for capsule development — this is a classic case of RETAINING, not trapping.","Silver Oak (Araku Valley standard shade), Banana (sub-canopy humidity), Coffee (companion crop)",Araku Valley flag: Cardamom grown in Araku Valley AP under Silver Oak is a documented success system. MF4-STR requirement met by Silver Oak's open pinnate canopy. Humidity retained (not trapped) under multi-tier system.
CRP0084,Horticultural,Medicinal,Ashwagandha,Withania somnifera,"MF3G,MF16,MF19,MF25,MF27","MF3G,MF10,MF13","MF2,MF14",MF3G (dryland open microclimate),"MF16,MF25,MF27",MF10,Dryland medicinal — thrives under AP's Rayalaseema dry microclimate conditions. SUPPRESSES MF2 and MF14 — high humidity causes root rot. Deep taproot creates biopore network (MF16) and accesses deep moisture in Alfisols. Aromatic flowers attract pollinators (MF19). REQUIREs wind exposure and low humidity — plant in open well-drained positions.,"Neem (windbreak companion), Drumstick (distant shade — >3m), Sesame (companion)",Dry microclimate design: Ashwagandha must NOT be placed in MF14 (high humidity) zones. Plant on ridges or slopes with good drainage. Compatible with MF15 (dry microatmosphere) producing companions.
CRP0085,Horticultural,Medicinal,Tulsi (Holy Basil),Ocimum tenuiflorum,"MF3G,MF19,MF20,MF21,MF24,MF27","MF3G,MF13",MF2,MF3G (0–1m; moderate bush),"MF24,MF27",MF9,"The most versatile aromatic companion plant in AP. Simultaneously: MF19 (pollinator attractor), MF20 (beneficial insect habitat), MF21 (aromatic pest repellent). Eugenol and methyl chavicol volatile compounds deter aphids, whitefly, mites within 1m radius. REQUIREs MF13 (airflow) — does not tolerate stagnant air. Sacred plant in every AP homestead — dual spiritual and functional companion role.","Tomato (essential companion), Chilli, Okra, ALL vegetables",Universal companion flag: Tulsi provides MF19+MF20+MF21 simultaneously — plant at 3m intervals in any vegetable garden for comprehensive biotic protection. Most cost-effective natural farming companion plant in AP.
CRP0086,Horticultural,Medicinal,Neem,Azadirachta indica,"MF1,MF3L,MF6,MF16,MF17,MF19,MF21,MF24,MF25,MF26","MF3L,MF13","MF3G,MF10",MF1+MF3L (semi-open canopy; light shade),"MF16,MF17,MF24,MF25,MF26",MF9,"Azadirachtin in leaves and seeds is a powerful pest deterrent (MF21/MF26 function). Deep taproot creates biopore network. Open canopy provides MF1 without creating dense MF2 — ideal windbreak/shade tree. Leaf litter is allelopathic but breaks down in 3–4 weeks. Mulch value: Neem litter suppresses soil pathogens AND feeds microbiome simultaneously. Classic AP village tree — used as windbreak, shade, biopesticide source.","All AP crops benefit from Neem windbreak, Drumstick (companion hedgerow), Moringa",Biopesticide design: Neem as border/windbreak (MF11) provides MF21 function passively through volatile emissions AND provides MF1 shade + MF16 biopores. Triple function in one tree. Azadirachtin concentration highest in seeds — harvest for neem oil preparation.
CRP0087,Horticultural,Medicinal,Vetiver,Chrysopogon zizanioides,"MF3G,MF16,MF18,MF25","MF3G,MF10",MF2,MF3G (bund grass; 0–1m visible; >3m roots),"MF16,MF18,MF25","MF9,MF10",The most important soil and water conservation grass for AP slopes. Roots reach 3–4m depth — unmatched MF16 biopore formation AND MF25 erosion resistance. Surface grass clump provides MF18 (weed suppression in bund zone). Aromatic — minor MF21 function. Bund planting on contour: 0.5m interval rows on >3% slopes is the AP Watershed standard.,"Plant on field bunds with any crop system, Stylosanthes (ground cover companion)",Erosion control priority: Vetiver bund on contour is MANDATORY for AP slopes >3% under natural farming. Root depth of 3–4m means MF16 biopore network operates far below root zone of annual crops — water infiltration benefit extends deep into soil profile.
CRP0088,Horticultural,Flowers,Marigold (African/French),Tagetes erecta / T. patula (Asteraceae),"MF2,MF5,MF11,MF12,MF14,MF19,MF23,MF24,MF25","MF3G,MF8,MF9","MF13,MF15,MF22",MF2 (short dense canopy 0.3–0.6m),"MF17,MF23,MF24","MF8,MF9",Marigold is the most powerful MF23 (biological pest suppressor) activator in horticulture — root exudates suppress root-knot nematodes and soil pathogens. Strong MF12 (aromatic volatile) producer. AP Natural Farming strongly recommends marigold border planting with all vegetable crops.,"Tomato (nematode suppression), Brinjal (MF23 border), Chilli (MF22 buffer)",AP NF flagship companion crop — always recommend as border plant. MF23 activation is scientifically validated for nematode suppression in vegetable plots.
CRP0089,Horticultural,Flowers,Chrysanthemum,Chrysanthemum morifolium (Asteraceae),"MF2,MF5,MF11,MF12,MF19,MF24,MF25","MF3G,MF8,MF9,MF13","MF10,MF22",MF2 (medium canopy 0.5–1.2m),"MF17,MF24","MF8,MF9",Chrysanthemum is a commercial cut-flower crop of high value in AP. Strong MF12 (volatile aromatic) producer — pyrethrins in foliage act as natural pesticide. MF19 activation through abundant flower biomass. Requires well-drained loam and cool nights for flowering.,"Marigold (MF23 border), Coriander (MF12 complement)","High-value commercial flower — flag MF13 (soil compaction risk) in pot/greenhouse systems. Incorporate natural farming sprays (JMS, plant extracts) for pest management."
CRP0090,Horticultural,Flowers,Rose,Rosa hybrida (Rosaceae),"MF2,MF5,MF11,MF12,MF19,MF24,MF25,MF27","MF3G,MF8,MF9,MF13","MF10,MF22",MF2 (bushy shrub 0.5–1.5m),"MF17,MF24,MF27","MF8,MF9",Rose is a perennial flowering shrub with high MF27 (perennial root zone rejuvenation) potential. MF12 (aromatic volatile) production is economically significant. Deep root system builds MF17 and MF24. Black spot and aphid pressure = high MF22 risk — key site for natural farming spray protocols.,"Garlic (MF23 companion), Marigold (MF23 border), Lavender (MF12 synergy)",Perennial woody shrub — MF27 rule applies. Flag MF22 (fungal/pest pressure) as design risk and specify NF spray schedule. Avoid chemical fungicide use.
CRP0091,Horticultural,Flowers,Crossandra (Kanakambaram),Crossandra infundibuliformis (Acanthaceae),"MF2,MF5,MF11,MF12,MF17,MF19,MF24,MF25","MF3G,MF8,MF9","MF10,MF13",MF2 (low bushy plant 0.3–0.6m),"MF17,MF24","MF8,MF9",Crossandra (Kanakambaram) is a major commercial flower crop of Andhra Pradesh — widely grown for garland and puja use. Strong MF12 and MF17 activator due to dense shallow roots. Shade-tolerant — can be intercropped under coconut and areca nut plantations.,"Coconut (shade intercrop), Areca nut (shade intercrop), Marigold (MF23 border)","AP-specific commercial flower — note shade intercropping potential under plantation crops (coconut, areca). FLAG: High humidity under shade increases MF22 (fungal) risk — monitor."
CRP0092,Horticultural,Flowers,Tuberose (Sugandhiraja),Polianthes tuberosa (Asparagaceae),"MF2,MF5,MF11,MF12,MF19,MF24,MF25","MF3G,MF8,MF9,MF13","MF10,MF15",MF2 (erect spike 0.6–1.0m),"MF17,MF24","MF8,MF9",Tuberose is a bulbous flower crop — highly fragrant MF12 producer. Bulb-to-bulb propagation builds MF17 (surface soil structure) through annual replanting cycles. Widely grown in AP for perfumery and garlands. MF15 (anaerobic stress) risk in waterlogged conditions — requires well-drained beds.,"Marigold (MF23 border), Chrysanthemum (companion bed)",Bulb crop — MF13 compaction risk in clay soils. Raised bed design recommended. FLAG: Do not replant continuously in same soil without rotation — nematode buildup risk.
CRP0093,Horticultural,Flowers,Gaillardia (Blanket Flower),Gaillardia pulchella (Asteraceae),"MF2,MF5,MF11,MF12,MF14,MF19,MF24","MF3G,MF8","MF13,MF22",MF2 (low canopy 0.3–0.5m),"MF17,MF24","MF8,MF14",Gaillardia is a drought-tolerant annual flower ideal for MF14 (dry-stress resilience) farming systems. Strong pollinator attractant — boosts MF23 (beneficial insect population). Low water requirement and sandy soil tolerance make it AP dryland compatible.,"Marigold (MF23 synergy), Sesame (dryland companion)",Good dryland border flower for natural farming plots — include in low-rainfall farm designs as pollinator attractor.
CRP0094,Horticultural,Flowers,Cock's Comb (Celosia),Celosia argentea (Amaranthaceae),"MF2,MF5,MF11,MF14,MF17,MF19,MF24,MF25","MF3G,MF8,MF9","MF10,MF13",MF2 (medium plant 0.4–0.9m),"MF17,MF24","MF8,MF9",Celosia is a heat-tolerant annual with excellent MF14 response under dry conditions. Edible leaves (used as green leafy vegetable in tribal areas). MF17 surface root contribution. Attracts beneficial insects — MF23 support. Dual use as ornamental and edible crop.,"Marigold (MF23 border), Amaranth (GLV companion)",Dual-use ornamental/edible — flag in intercropping systems as companion with vegetables. MF14 tolerance makes it suitable for summer flower cultivation.
CRP0095,Horticultural,Flowers,China Aster,Callistephus chinensis (Asteraceae),"MF2,MF5,MF11,MF12,MF19,MF24,MF25","MF3G,MF8,MF9,MF13","MF10,MF22",MF2 (medium canopy 0.4–0.8m),"MF17,MF24","MF8,MF9",China Aster is a commercially important cut-flower crop in AP. MF12 (volatile aromatic) mild producer. Sensitive to Fusarium wilt — MF22 (fungal pathogen) risk is high. AP NF protocols recommend soil enrichment with Jeevamrutha and trichoderma for wilt suppression. Annual crop with MF19 (seed biomass) activation.,"Marigold (MF23 nematode suppression), Coriander (MF12 companion)",FLAG: Fusarium wilt risk = critical MF22 design point. Mandatory soil treatment with Jeevamrutha before planting. Crop rotation with legume essential.
CRP0096,Horticultural,Flowers,Lotus,Nelumbo nucifera (Nelumbonaceae),"MF2,MF5,MF8,MF9,MF11,MF12,MF15,MF17,MF19,MF24,MF25","MF8,MF9,MF15","MF10,MF13",MF2 (floating/emergent 0.5–1.5m above water),"MF17,MF23,MF24,MF25","MF8,MF9,MF15","Lotus is an aquatic sacred flower of AP — thrives in still water bodies, ponds, and temple tanks. Unique MF8/MF9/MF15 (wet, aquatic) soil-water microenvironment activator. Rhizome is edible. MF25 (bio-mineral cycling) activated through leaf litter decomposition in pond sediment. Strong MF23 (beneficial microbiome) in pond ecosystem.","Azolla (MF23 aquatic companion), Water Hyacinth (MF25 complement — controlled)",Aquatic/amphibious crop — unique water MF rules apply. FLAG: Do not apply in flowing water systems. Integrate with fish farming for MF23 pond ecosystem design.
CRP0097,Forest,Canopy Trees,Teak,Tectona grandis,"MF1,MF2,MF4-FR,MF6,MF11,MF16,MF17,MF24,MF25","MF3U,MF13","MF3G,MF10",MF1+MF2 (dense deciduous canopy) + MF4-FR (far-red enrichment),"MF16,MF17,MF24,MF25",MF9,Dense deciduous canopy creates strong MF4-FR (far-red enrichment) zone. Leaf litter allelopathy documented — Teak litter inhibits germination of some species. Large deciduous leaves produce high-volume MF17 mulch in dry season — this is a seasonal pulse of biomass input. Deep root system creates significant MF16 biopore network. Use with caution as sole canopy — mono-teak plantation is a poor natural farming system due to allelopathic litter.,"Sesbania (MF23 companion in young plantation), Stylosanthes (ground cover), Cowpea",Allelopathy management: Teak litter pulse (Nov–Jan) provides biomass but may suppress understorey. Rake litter for compost rather than in-situ mulch if establishing new understorey. Multi-species teak+companion planting far superior to mono-teak.
CRP0098,Forest,Canopy Trees,Neem,Azadirachta indica,"MF1,MF3L,MF6,MF16,MF17,MF19,MF21,MF24,MF25,MF26","MF3L,MF13","MF3G,MF10",MF1+MF3L (semi-open canopy; partial shade),"MF16,MF17,MF24,MF25,MF26",MF9,"Ideal multi-purpose agroforestry canopy tree for AP. Unlike Teak, Neem allelopathy breaks down in 3–4 weeks — manageable in a dynamic polyculture. Biopesticide function (MF26/MF21) passive through volatile emissions. Open canopy provides MF1 without MF2 overcast. Deep root (MF16) creates extensive biopore network. Every AP natural farm should have Neem as windbreak/shade tree.","Red Gram (MF23 companion), Drumstick (sub-canopy), Cowpea (ground)",Ideal shade tree profile: Neem produces MF1+MF6+MF16+MF17+MF19+MF21 simultaneously. RETAINS cool microclimate below through canopy cooling. Most cost-effective multi-function canopy tree for AP dryland systems.
CRP0099,Forest,Canopy Trees,Pongamia (Kanuga),Millettia pinnata,"MF1,MF3L,MF16,MF17,MF19,MF23,MF24,MF25,MF27","MF3L,MF13","MF3G,MF10",MF1+MF3L (moderate shade; open canopy),"MF16,MF23,MF24,MF27",MF9,N-fixing canopy tree (Frankia and rhizobia nodules in roots). Produces MF23 at tree scale — significant N contribution to understory. Good honey tree (MF19 function). Seed oil is AP's traditional biopesticide and biodiesel source. Deep taproot creates major MF16 biopore network. Excellent shade tree for agroforestry bunds.,"Drumstick (sub-canopy companion), Red Gram (ground N-fixer), Cowpea",N-fixing tree flag: Pongamia BNF rate estimated 40–80 kg N/ha/yr at mature tree — significant contribution to adjacent crop N-budget. Design: 1 Pongamia per 200m² provides adequate N-credit to 1–2 companion rows.
